Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2021,DKI Jakarta,Kota Adm. Jakarta Timur,"836,961.37","203,529.27",24.32,"620,870.08",74.18,"824,399.35",98.5,"202,064.91",,24.14,P 2
2021,Jawa Barat,Kab. Sukabumi,"397,915.70","73,312.06",18.42,"91,980.00",23.12,"165,292.06",41.54,0,,0,P 1
2021,Jawa Barat,Kab. Bandung,"462,939.17","171,554.50",37.06,"115,496.95",24.95,"287,051.45",62.01,"123,053.94","5,996.95",27.88,P 2
2021,Jawa Barat,Kab. Garut,"408,821.79","30,488.00",7.46,"80,942.40",19.8,"111,430.40",27.26,"29,900.77",,7.31,P 2
2021,Jawa Barat,Kab. Ciamis,"208,818.25","99,406.62",47.6,"58,473.00",28,"157,879.62",75.61,"92,777.75","4,416.50",46.54,P 2
2021,Jawa Barat,Kab. Kuningan,"170,482.16","38,614.10",22.65,"73,000.00",42.82,"111,614.10",65.47,"9,857.79",,5.78,P 1
2021,Jawa Barat,Kab. Cirebon,"451,549.60","8,585.94",1.9,"65,700.00",14.55,"74,285.94",16.45,"8,569.45",,1.9,P 2
2021,Jawa Barat,Kab. Sumedang,"161,462.89","6,640.55",4.11,"43,135.70",26.72,"49,776.25",30.83,"6,640.55",,4.11,P 2
2021,Jawa Barat,Kab. Indramayu,"402,455.25","48,430.29",12.03,"195,083.61",48.47,"243,513.90",60.51,"14,571.24",49.14,3.63,P 2
2021,Jawa Barat,Kota Bogor,"245,922.33","49,345.57",20.07,"186,844.17",75.98,"236,189.74",96.04,679.42,"2,884.17",1.45,P 2
2021,Jawa Barat,Kota Sukabumi,"65,795.65","15,475.16",23.52,"49,221.92",74.81,"64,697.09",98.33,"3,273.21",1.64,4.98,P 2
2021,Jawa Barat,Kota Bandung,"581,280.03","49,031.13",8.44,"468,669.03",80.63,"517,700.15",89.06,"48,936.23","1,665.74",8.71,P 2
2021,Jawa Barat,Kota Cirebon,"74,631.55","6,926.59",9.28,"53,563.75",71.77,"60,490.34",81.05,23.69,0,0.03,P 2
2021,Jawa Barat,Kota Bekasi,"867,236.75","3,740.40",0.43,"438,190.53",50.53,"441,930.93",50.96,97.19,190.53,0.03,P 2
2021,Jawa Barat,Kota Depok,"479,660.75","75,942.38",15.83,"387,195.16",80.72,"463,137.55",96.56,"67,317.43","24,385.16",19.12,P 2
2021,Jawa Barat,Kota Cimahi,"100,289.42","17,177.75",17.13,"77,092.38",76.87,"94,270.14",94,"16,875.17",,16.83,P 2
2021,Jawa Tengah,Kab. Cilacap,"344,409.04","46,495.24",13.5,"224,049.15",65.05,"270,544.39",78.55,759.04,"145,778.55",42.55,P 2
2021,Jawa Tengah,Kab. Banyumas,"195,357.75","123,679.92",63.31,"63,106.24",32.3,"186,786.16",95.61,"23,549.42","4,706.24",14.46,P 2
2021,Jawa Tengah,Kab. Purbalingga,"184,585.06","1,920.78",1.04,"39,785.00",21.55,"41,705.78",22.59,,,0,P 2
2021,Jawa Tengah,Kab. Purworejo,"105,420.18","26,057.29",24.72,"19,116.55",18.13,"45,173.84",42.85,"23,647.61","2,169.60",24.49,P 2
2021,Jawa Tengah,Kab. Wonosobo,"132,496.46","27,718.06",20.92,"37,230.00",28.1,"64,948.06",49.02,"4,298.57",,3.24,P 2
2021,Jawa Tengah,Kab. Magelang,"248,800.43","17,379.38",6.99,"25,243.03",10.15,"42,622.41",17.13,"17,379.38",61.68,7.01,P 2
2021,Jawa Tengah,Kab. Boyolali,"106,159.34","26,628.17",25.08,"31,410.44",29.59,"58,038.61",54.67,"26,608.92",542.39,25.58,P 2
2021,Jawa Tengah,Kab. Klaten,"215,458.83","56,823.20",26.37,"34,327.79",15.93,"91,150.99",42.31,"24,995.38","1,076.29",12.1,P 2
2021,Jawa Tengah,Kab. Sukoharjo,"131,200.56","19,069.76",14.53,"67,210.37",51.23,"86,280.14",65.76,"15,479.66",13.87,11.81,P 2
2021,Jawa Tengah,Kab. Wonogiri,"160,369.61","46,098.07",28.74,"18,066.22",11.27,"64,164.30",40.01,"46,039.27",39.24,28.73,P 2
2021,Jawa Tengah,Kab. Karanganyar,"132,071.89","4,322.56",3.27,"27,375.00",20.73,"31,697.56",24,7.07,,0.01,P 2
2021,Jawa Tengah,Kab. Sragen,"213,952.27","49,297.84",23.04,"103,043.15",48.16,"152,340.99",71.2,"12,871.75","30,955.65",20.48,P 2
2021,Jawa Tengah,Kab. Grobogan,"309,573.61","102,103.28",32.98,"60,413.74",19.52,"162,517.02",52.5,"11,817.42","51,113.05",20.33,P 2
2021,Jawa Tengah,Kab. Blora,"82,801.58","20,063.68",24.23,"61,320.00",74.06,"81,383.68",98.29,"2,712.88",,3.28,P 2
2021,Jawa Tengah,Kab. Rembang,"89,666.36","14,623.39",16.31,"13,292.21",14.82,"27,915.60",31.13,"14,214.37",79.21,15.94,P 2
2021,Jawa Tengah,Kab. Pati,"241,664.31","59,954.79",24.81,"44,365.75",18.36,"104,320.54",43.17,"4,136.70",779.28,2.03,P 2
2021,Jawa Tengah,Kab. Kudus,"162,765.18","36,175.33",22.23,"69,867.71",42.93,"106,043.04",65.15,"35,630.15","23,731.71",36.47,P 2
2021,Jawa Tengah,Kab. Jepara,"146,028.40","16,626.31",11.39,"58,968.30",40.38,"75,594.62",51.77,"7,744.58",769.06,5.83,P 2
2021,Jawa Tengah,Kab. Demak,"263,666.36","15,826.40",6,"113,872.70",43.19,"129,699.10",49.19,"15,826.40",,6,P 2
2021,Jawa Tengah,Kab. Semarang,"192,189.00",345.1,0.18,"71,175.00",37.03,"71,520.10",37.21,345.1,,0.18,P 2
2021,Jawa Tengah,Kab. Temanggung,"182,562.96","18,306.91",10.03,"40,111.63",21.97,"58,418.55",32,50.62,"1,887.63",1.06,P 2
2021,Jawa Tengah,Kab. Kendal,"148,701.73",578.64,0.39,"38,453.82",25.86,"39,032.46",26.25,578.64,36.5,0.41,P 2
2021,Jawa Tengah,Kab. Batang,"89,543.84",532.67,0.59,"86,797.00",96.93,"87,329.67",97.53,53.33,,0.06,P 1
2021,Jawa Tengah,Kab. Pekalongan,"141,447.87","13,487.66",9.54,"50,917.50",36,"64,405.16",45.53,"4,726.39",,3.34,P 2
2021,Jawa Tengah,Kab. Pemalang,"214,837.39","50,898.34",23.69,"120,961.00",56.3,"171,859.34",80,"25,080.44",511,11.91,P 2
2021,Jawa Tengah,Kab. Tegal,"244,819.49","42,235.39",17.25,"155,928.00",63.69,"198,163.40",80.94,"28,371.68",,11.59,P 2
2021,Jawa Tengah,Kab. Brebes,"358,865.26","12,774.40",3.56,"50,767.85",14.15,"63,542.25",17.71,,,0,P 2
2021,Jawa Tengah,Kota Magelang,"29,447.93","2,262.88",7.68,"23,308.65",79.15,"25,571.52",86.84,"2,252.69",111.95,8.03,P 2
2021,Jawa Tengah,Kota Salatiga,"40,969.24","7,262.40",17.73,"29,509.52",72.03,"36,771.92",89.75,"7,158.50",105.12,17.73,P 2
2021,Jawa Tengah,Kota Semarang,"430,749.75","101,744.60",23.62,"319,718.10",74.22,"421,462.70",97.84,"25,252.37",343.1,5.94,P 2
2021,Jawa Tengah,Kota Tegal,"73,573.52","4,107.30",5.58,"56,173.50",76.35,"60,280.80",81.93,625.78,,0.85,P 2
2021,D.I. Yogyakarta,Kab. Kulon Progo,"64,654.35","17,515.28",27.09,"9,761.50",15.1,"27,276.78",42.19,"17,488.94",,27.05,P 2
2021,D.I. Yogyakarta,Kab. Gunungkidul,"133,629.74","31,624.77",23.67,"18,980.00",14.2,"50,604.77",37.87,"3,723.05",36.5,2.81,P 1
2021,D.I. Yogyakarta,Kab. Sleman,"268,481.59","44,417.68",16.54,"98,436.85",36.66,"142,854.53",53.21,"5,938.59",,2.21,P 2
2021,D.I. Yogyakarta,Kota Yogyakarta,"119,501.69","27,068.97",22.65,"91,749.42",76.78,"118,818.39",99.43,"14,496.32",629.68,12.66,P 2
2021,Jawa Timur,Kab. Pacitan,"104,654.83","11,399.45",10.89,"12,719.52",12.15,"24,118.97",23.05,"11,390.74",686.2,11.54,P 2
2021,Jawa Timur,Kab. Ponorogo,"141,540.58","28,568.13",20.18,"84,671.97",59.82,"113,240.10",80.01,"28,089.79",721.97,20.36,P 2
