Time,Time Code,Provinces Name,Provinces Code,Household Access to safe Sanitation (in % of total Household) [HOU.STA.ACSN.ZS],Household Access to Safe Water (in % of total household) [HOU.H2O.ACSN.ZS]
2017,YR2017,"Kubu Raya, Kab.",ID.KB.KR,82.03782654,13.7851429
2017,YR2017,"Landak, Kab.",ID.KB.LA,55.32383347,30.30053711
2017,YR2017,"Melawi, Kab.",ID.KB.ME,59.49369812,35.19178772
2017,YR2017,"Pontianak, Kab.",ID.KB.PR,82.84723663,19.48829651
2017,YR2017,"Pontianak, Kota",ID.KB.PN,90.69572449,39.79215622
2017,YR2017,"Sambas, Kab.",ID.KB.SM,84.95072174,3.867775917
2017,YR2017,"Sanggau, Kab.",ID.KB.SN,66.97255707,37.95515823
2017,YR2017,"Sekadau, Kab.",ID.KB.SE,60.94353104,34.83978653
2017,YR2017,"Singkawang, Kota",ID.KB.SK,89.15705109,50.97519684
2017,YR2017,"Sintang, Kab.",ID.KB.SI,70.20059204,46.16542816
2017,YR2017,"Balangan, Kab.",ID.KS.BA,82.83488464,66.96900177
2017,YR2017,"Banjar Baru, Kota",ID.KS.BB,89.58301544,78.28165436
2017,YR2017,"Banjar, Kab.",ID.JR.BA,72.76187134,59.50408554
2017,YR2017,"Banjarmasin, Kota",ID.KS.BM,84.89560699,100
2017,YR2017,"Barito Kuala, Kab.",ID.KS.BK,47.84473419,44.77495575
2017,YR2017,"Hulu Sungai Selatan, Kab.",ID.KS.HS,64.68380737,61.86404419
2017,YR2017,"Hulu Sungai Tengah, Kab.",ID.KS.HT,73.55422974,56.9974556
2017,YR2017,"Hulu Sungai Utara, Kab.",ID.KS.HU,76.07635498,64.98336792
2017,YR2017,"Kota Baru, Kab.",ID.KS.KB,83.75354004,65.31260681
2017,YR2017,"Tabalong, Kab.",ID.KS.TB,90.61732483,69.46426392
2017,YR2017,"Tanah Bumbu, Kab.",ID.KS.TN,85.60520935,75.13272858
2017,YR2017,"Tanah Laut, Kab.",ID.KS.TL,77.57435608,47.44898224
2017,YR2017,"Tapin, Kab.",ID.KS.TP,71.22361755,71.17745972
2017,YR2017,"Barito Selatan, Kab.",ID.KT.BS,54.30610657,54.38386917
2017,YR2017,"Barito Timur, Kab.",ID.KT.BT,85.70849609,54.07015228
2017,YR2017,"Barito Utara, Kab.",ID.KT.BU,71.87924194,69.08784485
2017,YR2017,"Gunung Mas, Kab.",ID.KT.GM,81.59377289,65.07434082
2017,YR2017,"Kapuas, Kab.",ID.KT.KA,63.97516632,37.53793716
2017,YR2017,"Katingan, Kab.",ID.KT.KG,69.12866974,63.34145737
2017,YR2017,"Kotawaringin Barat, Kab.",ID.KT.KB,87.31404877,88.23455811
2017,YR2017,"Kotawaringin Timur, Kab.",ID.KT.KT,78.10983276,65.60482025
2017,YR2017,"Lamandau, Kab.",ID.KT.LA,85.66378021,66.91293335
2017,YR2017,"Murung Raya, Kab.",ID.KT.MR,46.83298874,49.74063873
2017,YR2017,"Palangkaraya, Kota",ID.KT.PR,91.66109467,91.37893677
2017,YR2017,"Pulang Pisau, Kab.",ID.KT.PP,71.68280029,50.10329437
2017,YR2017,"Seruyan, Kab.",ID.KT.SE,79.61573792,68.01324463
2017,YR2017,"Sukamara, Kab.",ID.KT.SU,78.94049835,77.96760559
2017,YR2017,"Balikpapan, Kota",ID.KI.BA,93.15836334,97.47452545
