Level,Provinces Name,Provinces Code,Time,Time Code,Household Access to Safe Water (in % of total household),Household Access to safe Sanitation (in % of total Household)
"Banten, Prop.","Tangerang, Kab.",ID.BT.TM,2020,YR2020,74.30082703,80.29849243
"Bengkulu, Prop.","Bengkulu Selatan, Kab.",ID.BE.BS,2011,YR2011,30.69321,60.54412
"Bengkulu, Prop.","Bengkulu Selatan, Kab.",ID.BE.BS,2012,YR2012,35.83,62.9
"Bengkulu, Prop.","Bengkulu Selatan, Kab.",ID.BE.BS,2013,YR2013,34.13195419,66.8568573
"Bengkulu, Prop.","Bengkulu Selatan, Kab.",ID.BE.BS,2014,YR2014,41.10586548,72.08631134
"Bengkulu, Prop.","Bengkulu Selatan, Kab.",ID.BE.BS,2015,YR2015,36.29323959,75.62462616
"Bengkulu, Prop.","Bengkulu Selatan, Kab.",ID.BE.BS,2016,YR2016,31.41340637,74.60520935
"Bengkulu, Prop.","Bengkulu Selatan, Kab.",ID.BE.BS,2017,YR2017,40.7971611,77.53808594
"Bengkulu, Prop.","Bengkulu Selatan, Kab.",ID.BE.BS,2018,YR2018,40.09233856,76.2481308
"Bengkulu, Prop.","Bengkulu Selatan, Kab.",ID.BE.BS,2019,YR2019,48.1496048,79.28587341
"Bengkulu, Prop.","Bengkulu Selatan, Kab.",ID.BE.BS,2020,YR2020,37.38782883,84.20966339
"Bengkulu, Prop.","Bengkulu Tengah, Kab.",ID.BE.BT,2011,YR2011,24.0822,57.68356
"Bengkulu, Prop.","Bengkulu Tengah, Kab.",ID.BE.BT,2012,YR2012,28.63,57.76
"Bengkulu, Prop.","Bengkulu Tengah, Kab.",ID.BE.BT,2013,YR2013,28.20967102,62.84262466
"Bengkulu, Prop.","Bengkulu Tengah, Kab.",ID.BE.BT,2014,YR2014,23.3953495,63.6046524
"Bengkulu, Prop.","Bengkulu Tengah, Kab.",ID.BE.BT,2015,YR2015,24.12365913,68.93399048
"Bengkulu, Prop.","Bengkulu Tengah, Kab.",ID.BE.BT,2016,YR2016,34.96976471,76.58433533
"Bengkulu, Prop.","Bengkulu Tengah, Kab.",ID.BE.BT,2017,YR2017,35.70701981,77.36520386
"Bengkulu, Prop.","Bengkulu Tengah, Kab.",ID.BE.BT,2018,YR2018,49.25307083,82.99588013
"Bengkulu, Prop.","Bengkulu Tengah, Kab.",ID.BE.BT,2019,YR2019,45.25662994,78.48661041
"Bengkulu, Prop.","Bengkulu Tengah, Kab.",ID.BE.BT,2020,YR2020,39.52082443,83.58768463
"Bengkulu, Prop.","Bengkulu Utara, Kab.",ID.BE.BU,2011,YR2011,25.50734,69.28029
"Bengkulu, Prop.","Bengkulu Utara, Kab.",ID.BE.BU,2012,YR2012,29.8,73.69
"Bengkulu, Prop.","Bengkulu Utara, Kab.",ID.BE.BU,2013,YR2013,34.48490143,73.11212921
"Bengkulu, Prop.","Bengkulu Utara, Kab.",ID.BE.BU,2014,YR2014,31.86849403,77.99321747
"Bengkulu, Prop.","Bengkulu Utara, Kab.",ID.BE.BU,2015,YR2015,34.71868515,78.43391418
"Bengkulu, Prop.","Bengkulu Utara, Kab.",ID.BE.BU,2016,YR2016,28.58555603,76.00202942
"Bengkulu, Prop.","Bengkulu Utara, Kab.",ID.BE.BU,2017,YR2017,40.58100128,78.09010315
"Bengkulu, Prop.","Bengkulu Utara, Kab.",ID.BE.BU,2018,YR2018,36.97024536,78.92329407
"Bengkulu, Prop.","Bengkulu Utara, Kab.",ID.BE.BU,2019,YR2019,35.34877777,85.82891846
"Bengkulu, Prop.","Bengkulu Utara, Kab.",ID.BE.BU,2020,YR2020,45.54389954,85.63225555
"Bengkulu, Prop.","Kaur, Kab.",ID.BE.KA,2011,YR2011,31.93343,49.85173
"Bengkulu, Prop.","Kaur, Kab.",ID.BE.KA,2012,YR2012,32.18,55.85
"Bengkulu, Prop.","Kaur, Kab.",ID.BE.KA,2013,YR2013,41.21044922,62.53496552
"Bengkulu, Prop.","Kaur, Kab.",ID.BE.KA,2014,YR2014,21.86210251,59.96195602
"Bengkulu, Prop.","Kaur, Kab.",ID.BE.KA,2015,YR2015,37.7579155,68.80652618
"Bengkulu, Prop.","Kaur, Kab.",ID.BE.KA,2016,YR2016,32.90133667,65.77373505
"Bengkulu, Prop.","Kaur, Kab.",ID.BE.KA,2017,YR2017,27.49677658,70.68708801
"Bengkulu, Prop.","Kaur, Kab.",ID.BE.KA,2018,YR2018,43.8861351,75.48584747
"Bengkulu, Prop.","Kaur, Kab.",ID.BE.KA,2019,YR2019,45.78065872,78.82949066
"Bengkulu, Prop.","Kaur, Kab.",ID.BE.KA,2020,YR2020,52.43803406,80.29544067
"Bengkulu, Prop.","Kepahiang, Kab.",ID.BE.KE,2011,YR2011,34.66768,68.38677
"Bengkulu, Prop.","Kepahiang, Kab.",ID.BE.KE,2012,YR2012,24.42,71.02
"Bengkulu, Prop.","Kepahiang, Kab.",ID.BE.KE,2013,YR2013,32.78401566,77.49773407
"Bengkulu, Prop.","Kepahiang, Kab.",ID.BE.KE,2014,YR2014,29.10179138,75.27401733
"Bengkulu, Prop.","Kepahiang, Kab.",ID.BE.KE,2015,YR2015,30.18350601,80.14311218
"Bengkulu, Prop.","Kepahiang, Kab.",ID.BE.KE,2016,YR2016,43.40202713,83.42751312
"Bengkulu, Prop.","Kepahiang, Kab.",ID.BE.KE,2017,YR2017,45.72986984,83.60877991
"Bengkulu, Prop.","Kepahiang, Kab.",ID.BE.KE,2018,YR2018,56.31055069,84.19834137
"Bengkulu, Prop.","Kepahiang, Kab.",ID.BE.KE,2019,YR2019,32.9155159,85.04801941
"Bengkulu, Prop.","Kepahiang, Kab.",ID.BE.KE,2020,YR2020,45.97664261,92.3694458
"Bengkulu, Prop.","Lebong, Kab.",ID.BE.LE,2011,YR2011,46.85612,41.61697
"Bengkulu, Prop.","Lebong, Kab.",ID.BE.LE,2012,YR2012,45.04,40.39
"Bengkulu, Prop.","Lebong, Kab.",ID.BE.LE,2013,YR2013,40.92799759,42.6204834
"Bengkulu, Prop.","Lebong, Kab.",ID.BE.LE,2014,YR2014,37.7829628,50.10796356
"Bengkulu, Prop.","Lebong, Kab.",ID.BE.LE,2015,YR2015,46.15410995,56.38476181
"Bengkulu, Prop.","Lebong, Kab.",ID.BE.LE,2016,YR2016,61.83906937,54.84333038
"Bengkulu, Prop.","Lebong, Kab.",ID.BE.LE,2017,YR2017,40.24438477,58.88940048
